ACCOUNT,TOTAL AMOUNT,VESTING AMOUNT,VESTING START,VESTING END
team,165000000000000,,,

kyve1aqum9jkv9yptslm4czvjpzyt29kj6w4fjh8km5,1000000,,,
kyve16pj5gljqnqs0ajxakccfjhu05yczp9873u49y3,1000000,,,
kyve17xuyhz7s5hkwglmkf3qsrlyr3wk9qvqzxg4mja,1000000,,,
kyve1zttnm2cl60m5ffsrfeqtzkmtvepl4hwn0dsm68,1000000,,,
kyve1egqphd8yjdfv84fl825grwgna0pf2ema6amnv9,1000000,,,
kyve10rldat6hkt80nnvthnfteeedcyt79r382hzm9w,1000000,,,
kyve1yrvt5f8amefqzzzu9nhar2enl54afq4vnaxzs4,1000000,,,
kyve1ej2es5fjztqjcd4pwa0zyvaevtjd2y5w5ucx06,1000000,,,
kyve1wfjg58p85w6f0ax2qndkvphqu28sq7aj9x8ll3,1000000,,,
kyve1t9pdehdfa5p026u03s68ceknpx36xg4pklps6p,1000000,,,
kyve1awxv4js9aumf6kp2803vxx3lgckt5cxw0rutna,1000000,,,
kyve1fkm6cskfz6s0dyeet0pmmt2tyf2mrjdfh8hvxj,1000000,,,
kyve1v936nx74qq7vvpvg0gluewdrk9g2nm7d6epyv4,1000000,,,
kyve1w9lrkylysd3p40qn4s50u22ayx95narqhzkt3z,1000000,,,
